,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
768,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022,5,13,3107,0,127309180.0,4,0,22.0,0,0.0,153,A#,Minor,55,50,78,19,0,11,35
769,Yo No Soy Celoso,Bad Bunny,1,2022,5,6,1179,0,313113297.0,7,21,11.0,0,0.0,142,Unknown,Major,87,93,59,28,0,17,5
770,Rich Spirit,Kendrick Lamar,1,2022,5,13,3486,0,173702135.0,20,10,33.0,0,0.0,96,A#,Minor,85,41,43,39,0,12,21
772,Me Fui de Vacaciones,Bad Bunny,1,2022,5,6,1443,0,305650299.0,9,11,22.0,1,0.0,85,A#,Major,71,43,65,23,0,9,5
773,Silent Hill,"Kendrick Lamar, Kodak Black",2,2022,5,13,3028,0,123216717.0,22,0,23.0,0,0.0,140,C#,Minor,92,78,57,46,0,14,9
774,La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,1796,8,479655659.0,8,25,18.0,1,0.0,196,B,Minor,66,58,79,23,0,22,20
777,Dos Mil 16,Bad Bunny,1,2022,5,6,892,3,338422004.0,10,24,11.0,0,0.0,130,C#,Major,82,50,67,12,0,13,5
778,We Cry Together,"Kendrick Lamar, Taylour Paige",2,2022,5,13,1635,0,68895644.0,4,1,6.0,0,0.0,108,B,Major,65,52,69,31,0,8,36
779,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,5,13,2291,0,86176890.0,9,0,8.0,0,0.0,123,G#,Major,61,66,71,53,0,32,46
780,Un Coco,Bad Bunny,1,2022,5,6,1029,28,403231558.0,5,28,9.0,0,0.0,152,B,Major,84,74,69,21,0,18,6
783,Aguacero,Bad Bunny,1,2022,5,6,829,0,283359161.0,4,15,10.0,0,0.0,121,F#,Minor,86,67,65,42,0,35,7
784,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022,5,13,2308,0,76831876.0,7,0,7.0,0,0.0,138,D#,Minor,57,71,82,19,0,15,29
